date,open,high,low,close,volume,macd,signal,hist
2022-09-05,20000.3,20057.27,19633.83,19796.84,222543.01057,-764.4578192672161,-720.3598706195262,-44.09794864768992
2022-09-06,19795.34,20180.0,18649.51,18790.61,356315.05718,-827.1394232736748,-741.715781150356,-85.42364212331881
2022-09-07,18790.61,19464.06,18510.77,19292.84,287394.7788,-826.758920164506,-758.724408953186,-68.03451121132002
2022-09-08,19292.85,19458.25,19012.0,19319.77,262813.28273,-814.8907890087248,-769.9576849642938,-44.93310404443105
2022-09-09,19320.54,21597.22,19291.75,21360.11,428919.74652,-633.5437256928417,-742.6748931100034,109.13116741716169
2022-09-10,21361.62,21810.8,21111.13,21648.34,307997.33504,-461.2501151098222,-686.3899375099672,225.13982240014502
2022-09-11,21647.21,21860.0,21350.0,21826.87,280702.55149,-306.7641226005071,-610.4647745280753,303.7006519275682
2022-09-12,21826.87,22488.0,21538.51,22395.74,395395.61828,-136.8522581262514,-515.7422712477105,378.8900131214591
2022-09-13,22395.44,22799.0,19860.0,20173.57,431915.03333,-179.4379795993991,-448.48141291804825,269.04343331864914
2022-09-14,20173.62,20541.48,19617.62,20226.71,340826.40151,-206.51889551597196,-400.08890943763305,193.5700139216611
2022-09-15,20227.17,20330.24,19497.0,19701.88,333069.76076,-267.24942627094424,-373.5210128042953,106.27158653335107
2022-09-16,19701.88,19890.0,19320.01,19803.3,283791.07064,-303.69426459724855,-359.55566316288593,55.86139856563739
2022-09-17,19803.3,20189.0,19748.08,20113.62,179350.24338,-304.03213776347184,-348.4509580830031,44.41882031953128
2022-09-18,20112.61,20117.26,19335.62,19416.18,254217.46904,-356.4683388166268,-350.05443422972786,-6.413904586898923
2022-09-19,19417.45,19686.2,18232.56,19537.02,380512.40306,-383.8488571481139,-356.8133188134051,-27.035538334708804
2022-09-20,19537.02,19634.62,18711.87,18875.0,324098.3286,-453.73719650015846,-376.1980943507558,-77.53910214940265
2022-09-21,18874.31,19956.0,18125.98,18461.36,385034.10021,-536.3191467446304,-408.22230482953074,-128.09684191509967
2022-09-22,18461.36,19550.17,18356.39,19401.63,379321.72111,-519.9009123578871,-430.55802633520204,-89.3428860226851
2022-09-23,19401.63,19500.0,18531.42,19289.91,385886.91829,-510.02496333855015,-446.4514137358717,-63.57354960267844
2022-09-24,19288.57,19316.14,18805.34,18920.5,239496.56746,-525.9437501372086,-462.3498810161391,-63.593869121069474
2022-09-25,18921.99,19180.21,18629.2,18807.38,191191.4492,-541.4458907898625,-478.1690829708838,-63.27680781897868
2022-09-26,18809.13,19318.96,18680.72,19227.82,439239.21943,-513.8817458221165,-485.3116155411304,-28.57013028098612
2022-09-27,19226.68,20385.86,18816.32,19079.13,593260.74161,-498.2910140573913,-487.9074952443826,-10.38351881300872
2022-09-28,19078.1,19790.0,18471.28,19412.82,521385.45547,-453.7783778991907,-481.08167177534426,27.30329387615359
